Name	Description	Designator	Quantity	Mouser order code	Farnell order code	TME order code
100nF*V	Ceramic capacitor	C1, C2, C10, C11, C12, C13, C14, C15, C17_MOTOR1, C17_MOTOR2, C17_MOTOR3, C20, C23, C26	14	581-06033G104ZAT4A	1301713	CC0603KRX7R9BB104
10nF*V	Ceramic capacitor	C3, C6	2	81-GCM188R91H103KA7D	2332514	0603B103K500CT
1uF*V	Ceramic capacitor	C4, C7, C8	3	581-0603YD105K	1658870	CL10B105KO8NNNC
4.7uF*V	Ceramic capacitor	C5	1	81-GRM21BR71C475KE1K	2525144	CL21A475KBQNNNE
22uF*V	Ceramic capacitor	C9	1	187-CL21A226MQQNNWE	1867956	CL21A226MAQNNNE
10uF*V	Ceramic capacitor	C16_MOTOR1, C16_MOTOR2, C16_MOTOR3, C18_MOTOR1, C18_MOTOR2, C18_MOTOR3, C19_MOTOR1, C19_MOTOR2, C19_MOTOR3, C21, C22	11	187-CL21A106KPFNNNG	2210948	GRM21BR61E106KA73L
100uF*V	Ceramic capacitor	C24	1	80-C0805C104M5RACTM	2494477	GRM21BR60J107ME15L
33nF*V	Ceramic capacitor	C27	1	581-06035C333KAT4A	1740618	CL10B333KB8NNNC
LED	Light Emitting Diode	D2	1	755-SMLEN3EC8TT86	3796285	19-213/GHC-YR1S2
STM32G441KBT6	Integrated Circuit	IC1	1	511-STM32G441KBT6	3132413	-
NCP164CSN330T1G	Integrated Circuit	IC2	1	863-NCP164CSN330T1G	3367831	NCP164CSN330T1G
MAX14930DASE+	Integrated Circuit	IC3, IC4, IC5	3	700-MAX14930DASE+	3257451	-
DRV8243HQRXYRQ1	Integrated Circuit	IC7_MOTOR1, IC7_MOTOR2, IC7_MOTOR3	3	595-DRV8243HQRXYRQ1	-	-
XTPS62933DRLR	Integrated Circuit	IC8	1	595-TPS62933DRLR	-	-
10118193-0001LF	Connector	J1	1	649-10118193-0001LF	2751675	10118193-0001LF/C
215079-4	Connector	J2, J4, J5, J6, J7, J8, J9	7	-	1772996	AMP-7-215079-4
FTSH-105-01-L-DV-K	Connector	J3	1	200-FTSH10501LDVK	3550960	-
SRP6060FA-5R6M	Inductor	L1	1	652-SRP6060FA-5R6M	2901832	-
PAD		P1, P2, P3_MOTOR1, P3_MOTOR2, P3_MOTOR3, P4_MOTOR1, P4_MOTOR2, P4_MOTOR3	8	-	-	-
PAD		P5, P6	2	-	-	-
BUK6Y24-40PX	MOSFET (P-Channel)	Q1	1	771-BUK6Y24-40PX	3438515	BUK6Y24-40PX
10K	Resistor	R3, R5_MOTOR1, R5_MOTOR2, R5_MOTOR3	4	755-ESR03EZPJ103	2447230	AR0603-10K-0.1%
110	Resistor	R4	1	755-SDR03EZPJ111	2447235	RC0603FR-07110RL
3K	Resistor	R6_MOTOR1, R6_MOTOR2, R6_MOTOR3	3	755-SFR03EZPJ302	2447356	AR0603-3K-0.1%
0R	Resistor	R7_MOTOR1, R7_MOTOR2, R7_MOTOR3, R10_MOTOR1, R10_MOTOR2, R10_MOTOR3	6	667-ERJ-3GEY0R00V	2447743	AC0603JR-070RL
100K	Resistor	R8_MOTOR1, R8_MOTOR2, R8_MOTOR3	3	667-ERJ-3EKF1003V	2447226	AR0603-100K-0.1%
22K	Resistor	R9_MOTOR1, R9_MOTOR2, R9_MOTOR3	3	755-SDR03EZPD2202	2447299	AR0603-22K-0.1%
53K6	Resistor	R16	1	71-TNPW060353K6BEEA	2073119	ERA3AEB5362V
10K2	Resistor	R17	1	667-ERJ-3EKF1022V	2059407	AR0603-10K2-0.1%
EVQQ	Switch	S1	1	667-EVQ-Q2B02W	2860928	EVQQ2201W
CM1223-02SO	TVS diodes 2-ch	U1	1	-	3607672	CM1223-02SO
